"date","product_id","price","company"
2020-11-23,DB400T9A i5-9400,"1,100,000원",SAMSUNG
2020-11-23,FA706IU-H7100,"1,433,600원",ASUS
2020-11-23,G512LU-AL043,"1,399,000원",ASUS
2020-11-23,G712LU-EV001,"1,348,990원",ASUS
2020-11-23,G731GT-H7114,"999,000원",ASUS
2020-11-23,GA502IU-AZ015T,"1,598,990원",ASUS
2020-11-23,GA502IV-AZ001,"1,699,000원",ASUS
2020-11-23,GF75 Thin 9SCXR,"1,099,000원",MSI
2020-11-23,GP75 Leopard 9SD,"1,349,000원",MSI
2020-11-23,GU502LV-AZ015,"46,240원",ASUS
2020-11-23,GU502LW-HC111T,"2,599,000원",ASUS
2020-11-23,GX550LWS-HC013R,"4,198,990원",ASUS
2020-11-23,GX550LWS-HF046R,"3,799,000원",ASUS
2020-11-23,GX701LXS-HG032T,"3,956,390원",ASUS
2020-11-23,LG 15ZD90N-V.AX7BK,"1,623,110원",LG
2020-11-23,MHK33KH/A,"1,843,000원",APPLE
2020-11-23,NT350XCR-AD5WA,"848,000원",SAMSUNG
2020-11-23,NT550EBV-AD5BA,"880,990원",SAMSUNG
2020-11-23,NT550XCJ-KC24,"746,540원",SAMSUNG
2020-11-23,NT550XCR-AD1WA,"498,990원",SAMSUNG
2020-11-23,NT550XCR-AD2A,"598,000원",SAMSUNG
2020-11-23,NT550XCR-AD5A + NVMe SSD 512GB,"998,000원",SAMSUNG
2020-11-23,NT550XCR-GD5A,"1,198,990원",SAMSUNG
2020-11-23,NT950XCR-G58A,"1,528,000원",SAMSUNG
2020-11-24, DM500S9Z-AD3BA,"549,000원",SAMSUNG
2020-11-24, FA506IU-HN174,"1,199,000원",ASUS
2020-11-24, GA502IV-AZ001T,"1,699,000원",ASUS
2020-11-24, NT750QCJ-K58A,"1,797,990원",SAMSUNG
2020-11-24, NT950XCJ-X716A,"2,087,700원",SAMSUNG
2020-11-24,"15M A10SE-i7","1,499,000원",MSI
2020-11-24,"15U50N-KR56K","1,082,690원",LG
2020-11-24,"15UD50N-GX50K","863,090원",LG
2020-11-24,"15ZD90N-VX5BK","1,344,090원",LG
2020-11-24,"17UD70N-G.AX76K","1,735,450원",LG
2020-11-24,"800G5 TWR 6BD60AV","1,122,710원",HP
2020-11-24,AS G512LI-HN065,"1,769,000원",ASUS
